item_id,option_order,option_text,option_code,score (0-100),weight,flag,notes
CHCP-Q14,1,"Yes, we have seen significant positive changes",significant,100,,,
CHCP-Q14,2,We have seen some changes,some,50,,,
CHCP-Q14,3,We have not noticed any changes yet,none,0,,,
CHCP-Q14,4,Other (please describe),other,,,missing,
ML-Q1,1,"Yes, they have a documented brief that defines their translation type and goals",documented,100,,,
ML-Q1,2,"Yes, they have a shared understanding as a team of what they are aiming for, but it is not documented",shared-undocumented,67,,,
ML-Q1,3,They are still working on defining their translation type and goals,working-on,33,,,
ML-Q1,4,Other (please describe),other,,,missing,Treat as missing unless inferable.
ML-Q2,1,Corresponding — very close to the original Greek or Hebrew,corresponding,,,descriptive,
ML-Q2,2,Resembling — close to the original with some adjustments for clarity,resembling,,,descriptive,
ML-Q2,3,Clarifying — focused on understandability in natural language,clarifying,,,descriptive,
ML-Q2,4,"Simplifying — easy to understand, using contemporary everyday language",simplifying,,,descriptive,
ML-Q2,5,Other (please describe),other,,,descriptive,
ML-Q3,1,"They study the passage using multiple resources (commentaries, original languages, etc.) and discuss as a team",multi-resources,100,,,
ML-Q3,2,They study the passage using at least one reference resource,one-resource,67,,,
ML-Q3,3,They read the passage in a language they understand well and discuss it,language-discussion,33,,,
ML-Q3,4,They begin drafting based on their existing understanding,existing-understanding,0,,,
ML-Q3,5,Other (please describe),other,,,missing,
ML-Q4,1,Original language texts (Greek/Hebrew),original-lang,,3,,
ML-Q4,2,Interlinear texts,interlinear,,2,,
ML-Q4,3,Commentaries,commentaries,,2,,
ML-Q4,4,"Translation handbooks (e.g., UBS/SIL handbooks)",handbooks,,2,,
ML-Q4,5,Back translations from related languages,back-trans,,1,,
ML-Q4,6,National language translations,national-lang,,1,,
ML-Q4,7,Other translations in widely spoken languages,other-widespread,,1,,
ML-Q4,8,Other (please describe),other,,1,other,Counts at weight 1 — review qualitatively.
ML-Q5,1,The full team reviews every draft together,full-team,100,,,
ML-Q5,2,Every draft is checked by at least one other team member before moving forward,every-checked,75,,,
ML-Q5,3,The lead translator or translation supervisor reviews drafts,lead-reviews,50,,,
ML-Q5,4,Drafts are checked by another team member when there are questions or concerns,checked-when-questions,25,,,
ML-Q5,5,They move directly to external review without internal cross-checking,skip-internal,0,,,
ML-Q5,6,Other (please describe),other,,,missing,
ML-Q6,1,They have a structured process for regularly gathering feedback from a representative group of community members,structured-rep,100,,,
ML-Q6,2,They gather feedback from community members informally and occasionally,informal-occasional,33,,,
ML-Q6,3,They gather feedback from a few trusted community members,few-trusted,33,,,
ML-Q6,4,They share drafts publicly and welcome any feedback,public-share,33,,,
ML-Q6,5,They don't have a specific process for gathering community feedback,no-process,0,,,
ML-Q6,6,Other (please describe),other,,,missing,
ML-Q7,1,All feedback is documented and systematically reviewed by the team for each passage,documented-systematic,100,,,
ML-Q7,2,"Feedback is collected and reviewed, but not always systematically documented",collected-not-systematic,67,,,
ML-Q7,3,Feedback is discussed informally and applied when the team agrees,informal-applied,33,,,
ML-Q7,4,Feedback is sometimes collected but not consistently applied,inconsistent,0,,,
ML-Q7,5,Other (please describe),other,,,missing,
ML-Q8,1,Three or more rounds of revision,3-plus-rounds,100,,,
ML-Q8,2,Two rounds of revision,2-rounds,67,,,
ML-Q8,3,One round of revision,1-round,33,,,
ML-Q8,4,They do not have a standard number of revision rounds,no-standard,0,,,
ML-Q8,5,Other (please describe),other,,,missing,
ML-Q10,1,They consult with a trained translation consultant or advisor,consult-trained,,4,,
ML-Q10,2,They research using commentaries and handbooks,research-resources,,3,,
ML-Q10,3,They discuss as a team and come to their best understanding,team-discuss,,2,,
ML-Q10,4,They look at how other translations handle it and follow their approach,follow-others,,1,,
ML-Q10,5,They leave it and hope to resolve it later,leave-it,,0,,Weight 0 — adds nothing to score but is not an exclusion.
ML-Q10,6,Other (please describe),other,,1,other,
ML-Q11,1,"Yes, someone who is not involved in drafting regularly reviews the work at key stages",regular-key-stages,100,,,
ML-Q11,2,"Yes, someone who is not involved in drafting occasionally reviews the work",occasional,67,,,
ML-Q11,3,Someone who is not involved in drafting has reviewed the work once or twice,once-twice,33,,,
ML-Q11,4,The work has not been reviewed by someone outside the translation team,no-external,0,,,
ML-Q11,5,Other (please describe),other,,,missing,
ML-Q12,1,A trained translation consultant or advisor,trained-consultant,,3,,
ML-Q12,2,A linguist or language specialist,linguist,,2,,
ML-Q12,3,A church leader or pastor from outside the community,outside-pastor,,2,,
ML-Q12,4,A church leader or pastor who is part of the community,inside-pastor,,1,,
ML-Q12,5,A scholar or professor,inside-scholar,,1,,
ML-Q12,6,Other (please describe),other,,1,other,
ML-Q13,1,They use software that automatically flags inconsistencies in key terms and proper names,software-auto,100,,,
ML-Q13,2,They maintain a manual glossary or reference list that the team consults regularly,manual-glossary,75,,,
ML-Q13,3,They rely on team members to remember and apply consistent terms,memory,50,,,
ML-Q13,4,They address consistency issues when they are pointed out during review,reactive,25,,,
ML-Q13,5,They don't have a specific process for managing consistency,no-process,0,,,
ML-Q13,6,Other (please describe),other,,,missing,
ML-Q14,1,Paratext or similar Bible translation software,paratext,,3,,
ML-Q14,2,A shared spreadsheet or document glossary,shared-glossary,,2,,
ML-Q14,3,A printed reference list,printed-list,,1,,
ML-Q14,4,They don't use any specific tools for this,no-tools,,0,exclusion,"If checked, item score = 0 regardless of others."
ML-Q14,5,Other (please describe),other,,1,other,
ML-Q15,1,"They have a formal project plan with timelines, roles, and accountability structures",formal-plan,100,,,
ML-Q15,2,They have an informal plan that the team follows,informal-plan,67,,,
ML-Q15,3,The project leader or coordinator manages things as needed,ad-hoc,33,,,
ML-Q15,4,They don't have a specific management structure,none,0,,,
ML-Q15,5,Other (please describe),other,,,missing,
ML-Q16,1,A translation consultant or advisor,consultant,,3,,
ML-Q16,2,A church committee or board,church-board,,2,,
ML-Q16,3,An organizational supervisor or project manager,org-supervisor,,2,,
ML-Q16,4,The translation team itself,team-self,,1,,
ML-Q16,5,No one outside the team provides oversight,no-outside,,0,exclusion,"If checked, item score = 0 regardless of others."
ML-Q16,6,Other (please describe),other,,1,other,
ML-Q17,1,They follow a formal approval process with defined criteria and sign-off from multiple parties,formal-multi-signoff,100,,,
ML-Q17,2,The translation consultant or advisor gives final approval,consultant-signoff,75,,,
ML-Q17,3,The team discusses and reaches consensus that it is ready,team-consensus,50,,,
ML-Q17,4,The project leader or coordinator makes the final decision,leader-decides,25,,,
ML-Q17,5,They don't have a clear process for determining when something is finished,no-process,0,,,
ML-Q17,6,Other (please describe),other,,,missing,
